"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","same_household","included_transmission",0.001879
"within-host","different_household",NA,0.002193
"within-host","same_household","included_transmission",0.001967
"within-host","different_household",NA,0.002119
"within-host","different_household",NA,0.002519
"within-host","different_household",NA,0.001963
"within-host","different_household",NA,0.002089
"within-host","different_household",NA,0.001882
"within-host","different_household",NA,0.001946
"within-host","same_household","included_transmission",0.002309
"within-host","different_household",NA,0.001852
"within-host","different_household",NA,0.001802
"within-host","different_household",NA,0.002298
"within-host","different_household",NA,0.002976
"within-host","different_household",NA,0.00198
"within-host","different_household",NA,0.0021
"within-host","same_household","included_transmission",0.001965
"within-host","same_household","included_transmission",0.002516
"within-host","different_household",NA,0.002114
"within-host","different_household",NA,0.00252
"within-host","different_household",NA,0.002425
"within-host","same_household","included_transmission",0.002364
"within-host","same_household","included_transmission",0.002157
"within-host","different_household",NA,0.001955
"within-host","different_household",NA,0.002396
"within-host","different_household",NA,0.002177
"within-host","different_household",NA,0.003319
"within-host","same_household","included_transmission",0.00203
"within-host","different_household",NA,0.002658
"within-host","different_household",NA,0.002807
"within-host","different_household",NA,0.002992
"within-host","different_household",NA,0.003083
"within-host","same_household","included_transmission",0.002837
"within-host","different_household",NA,0.003038
"within-host","different_household",NA,0.003079
"within-host","same_household","included_transmission",0.002764
"within-host","different_household",NA,0.003914
"within-host","different_household",NA,0.003831
"within-host","same_household","included_transmission",0.002603
"within-host","same_household","included_transmission",0.002343
"within-host","different_household",NA,0.006975
"within-host","different_household",NA,0.002722
"within-host","same_household","included_transmission",0.002231
"within-host","same_household","included_transmission",0.002028
"within-host","same_household","included_transmission",0.004365
"within-host","same_household","included_transmission",0.003893
"within-host","same_household","included_transmission",0.004779
"within-host","same_household","included_transmission",0.002431
"within-host","same_household","included_transmission",0.002083
"within-host","different_household",NA,0.004484
"within-host","different_household",NA,0.00434
"within-host","different_household",NA,0.002351
"within-host","different_household",NA,0.002311
"within-host","different_household",NA,0.002703
"within-host","different_household",NA,0.002028
"within-host","same_household","included_transmission",0.001874
"within-host","different_household",NA,0.001676
"within-host","same_household","included_transmission",0.001766
"within-host","same_household","included_transmission",0.001697
"within-host","different_household",NA,0.001633
"within-host","different_household",NA,0.002086
"within-host","different_household",NA,0.001862
"within-host","different_household",NA,0.001786
"within-host","same_household","included_transmission",0.002058
"within-host","different_household",NA,0.003198
"within-host","different_household",NA,0.001938
"within-host","same_household","included_transmission",0.002017
"within-host","different_household",NA,0.001697
"within-host","different_household",NA,0.002274
"within-host","different_household",NA,0.001896
"within-host","same_household","included_transmission",0.001901
"within-host","same_household","included_transmission",0.001749
"within-host","same_household","included_transmission",0.001739
"within-host","same_household","included_transmission",0.001846
"within-host","different_household",NA,0.001817
"within-host","different_household",NA,0.001793
"within-host","same_household","included_transmission",0.002029
"within-host","same_household","included_transmission",0.001745
"within-host","same_household","included_transmission",0.001779
"within-host","same_household","included_transmission",0.001781
"within-host","same_household","included_transmission",0.002027
"within-host","same_household","included_transmission",0.001874
"within-host","different_household",NA,0.002473
"within-host","different_household",NA,0.002285
"within-host","different_household",NA,0.002399
"within-host","different_household",NA,0.002522
"within-host","same_household","included_transmission",0.002859
"within-host","same_household","included_transmission",0.002024
"within-host","different_household",NA,0.002099
"within-host","different_household",NA,0.002235
"within-host","same_household","included_transmission",0.00223
"within-host","same_household","included_transmission",0.002139
"within-host","different_household",NA,0.002387
"within-host","different_household",NA,0.001896
"within-host","same_household","included_transmission",0.002293
"within-host","different_household",NA,0.001966
"within-host","different_household",NA,0.001972
"within-host","same_household","included_transmission",0.002018
"within-host","different_household",NA,0.001714
"within-host","different_household",NA,0.001388
"within-host","same_household","included_transmission",0.000441
"within-host","different_household",NA,0.001443
"within-host","different_household",NA,0.002108
"within-host","different_household",NA,0.001807
"within-host","different_household",NA,0.001804
"within-host","different_household",NA,0.001937
"within-host","different_household",NA,0.001959
"within-host","different_household",NA,0.001778
"within-host","different_household",NA,0.00215
"within-host","different_household",NA,0.001841
"within-host","different_household",NA,0.001654
"within-host","different_household",NA,0.0016
"within-host","different_household",NA,0.001865
"within-host","different_household",NA,0.001839
"within-host","different_household",NA,0.00227
"within-host","different_household",NA,0.002414
"within-host","different_household",NA,0.00208
"within-host","different_household",NA,0.003054
"within-host","different_household",NA,0.002224
"within-host","different_household",NA,0.001778
"within-host","different_household",NA,0.002072
"within-host","different_household",NA,0.001885
"within-host","different_household",NA,0.001568
"within-host","different_household",NA,0.001753
"within-host","different_household",NA,0.001576
"within-host","different_household",NA,0.001364
"within-host","different_household",NA,0.001543
"within-host","different_household",NA,0.001193
"within-host","different_household",NA,0.001744
"within-host","different_household",NA,0.001768
"within-host","different_household",NA,0.001805
"within-host","different_household",NA,0.001383
"within-host","different_household",NA,0.001513
"within-host","different_household",NA,0.001274
"within-host","different_household",NA,0.001227
"within-host","different_household",NA,0.001668
"within-host","different_household",NA,0.001727
"within-host","different_household",NA,0.001455
"within-host","different_household",NA,0.001316
"within-host","different_household",NA,0.002031
"within-host","different_household",NA,0.001838
"within-host","different_household",NA,0.001902
"within-host","different_household",NA,0.002208
"within-host","different_household",NA,0.002334
"within-host","different_household",NA,0.002698
"within-host","different_household",NA,0.00234
"within-host","different_household",NA,0.002568
"within-host","different_household",NA,0.005463
"within-host","different_household",NA,0.010252
"within-host","different_household",NA,0.005504
"within-host","different_household",NA,0.005579
"within-host","different_household",NA,0.0051
"within-host","different_household",NA,0.005762
"within-host","different_household",NA,0.005595
"within-host","different_household",NA,0.005469
"within-host","different_household",NA,0.005816
"within-host","different_household",NA,0.005886
"within-host","different_household",NA,0.005848
"within-host","different_household",NA,0.005793
"within-host","different_household",NA,0.005333
"within-host","different_household",NA,0.005382
"within-host","different_household",NA,0.007109
"within-host","different_household",NA,0.005899
"within-host","different_household",NA,0.005344
"within-host","different_household",NA,0.005535
"within-host","different_household",NA,0.005806
"within-host","different_household",NA,0.005661
"within-host","different_household",NA,0.005413
"within-host","different_household",NA,0.005754
"within-host","different_household",NA,0.006003
"within-host","different_household",NA,0.005305
"within-host","different_household",NA,0.005354
"within-host","different_household",NA,0.00477
"within-host","different_household",NA,0.004721
"within-host","different_household",NA,0.004252
